"Freq [MHz]","dB(RealizedGainTotal) [] - Phi='0deg' Theta='0deg'","dB(RealizedGainTotal)_1 [] - Phi='0deg' Theta='0deg'","dB(RealizedGainTotal)_2 [] - Phi='0deg' Theta='0deg'","dB(RealizedGainTotal)_3 [] - Phi='0deg' Theta='0deg'"
860,1.69773031311723,-0.224192636431043,2.7825248263932,2.77807235435502
862,1.9449230763225,0.0600787475437239,2.94320036622595,2.93877554331646
864,2.19385028185316,0.349707164882799,3.10462000019084,3.09988601378469
866,2.4443820170911,0.644729747186558,3.26691852572333,3.26153603957004
868,2.69634760648498,0.945140704952112,3.43021605314209,3.42384476376376
870,2.94952757131299,1.25087883104995,3.59461516909356,3.58691545501159
872,3.20364468578305,1.56181186807773,3.76019786374724,3.75083248721993
874,3.45835373245597,1.87771817456825,3.92702209084025,3.9156580423062
876,3.71323015562401,2.19826418849291,4.09511802745546,4.08142873766783
878,3.96775752268902,2.5229782078714,4.26448389759452,4.24815147367414
880,4.22131400596948,2.85121911409397,4.43508125737054,4.41579930083267
882,4.47315823626893,3.18214062664823,4.6068295745934,4.58430633001479
884,4.72241457546615,3.51465094287405,4.77959993986096,4.75356197205537
886,4.96805920367752,3.84736834187282,4.95320739777413,4.9234039608059
888,5.20890739706059,4.17857522812927,5.1274013702662,5.09360957779129
890,5.4436035817057,4.50617271400283,5.30185345840379,5.2638842644098
892,5.6706158430482,4.82764247324709,5.47614092841936,5.43384628601048
894,5.88823710261781,5.14002142137576,5.64972452642799,5.60300553247449
896,6.09459515138358,5.43990063545116,5.82191781390472,5.77073431832363
898,6.28767389627704,5.72345974909628,5.99184652711546,5.93622757432063
900,6.46534825327846,5.98654932862123,6.15839686577878,6.09845200088732
902,6.6254342090391,6.22483277415342,6.32015724942573,6.25608750311184
904,6.76575412607058,6.4339916694049,6.47536740232816,6.40747412659097
906,6.88421617090553,6.60998987145108,6.62190303928238,6.55059194874746
908,6.97890388286243,6.74937558741543,6.75733778072559,6.68311524009152
910,7.04816973091523,6.84958779099124,6.87911953213802,6.8025793755662
912,7.09072424283954,6.90922159930835,6.98485677684788,6.90666005770365
914,7.10571056057046,6.92820790011329,7.07263631925506,6.99349069973338
916,7.09275534924824,6.90787331361418,7.14123693381246,7.06188340288531
918,7.05198957874064,6.85086981985804,7.19013243181318,7.11134253464671
920,6.98403849998859,6.76098661761331,7.21929708723945,7.14187559130333
922,6.8899846054502,6.64287718577832,7.22893507863207,7.15371920786094
924,6.77130871370223,6.50174145963869,7.21927137621746,7.14711974330095
926,6.62981497624642,6.34299653701731,7.19046744498979,7.1222377715568
928,6.46754508568311,6.17195570638188,7.14264508156885,7.07916457323361
930,6.28668858373076,5.99351655975648,7.07596493543975,7.01799841566905
932,6.08949704340073,5.81184807220782,6.99071074889357,6.93893138288871
934,5.87820829737008,5.63006503678651,6.88735095632721,6.84231669753054
936,5.65498474348164,5.44990134297585,6.76656871411804,6.7287061935963
938,5.4218671273788,5.27144049279175,6.62926223515062,6.59885876147841
940,5.18074329340159,5.09303594539627,6.47652274189571,6.45372599649135
942,4.93332986430202,4.91163235891115,6.3095979890586,6.29442230079731
944,4.68116496299322,4.72367428529411,6.12984849867919,6.12218638722605
946,4.42560897257803,4.52634863359924,5.93870218392097,5.93833977162259
948,4.16785133092762,4.31797470657936,5.73761193529553,5.74424621471778
950,3.90892128120156,4.09714558219538,5.52801820531711,5.54127509075522
952,3.64970090893262,3.86302263938312,5.31131814234192,5.33077019351897
954,3.39093934854052,3.61681921368679,5.08884222387252,5.11402497481236
956,3.1332670624282,3.36180428700578,4.86183726270185,4.89226376100336
958,2.87720967681296,3.10211673532332,4.63145577339735,4.66662912150428
960,2.62320131492295,2.84175053287105,4.39875049279553,4.4381740303931
