"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,45,-180,-23.3122739149006,-7.25963723592035
0.914,45,-178,-23.4010844968478,-7.08652524023995
0.914,45,-176,-23.542733247503,-6.96379195175413
0.914,45,-174,-23.7371375984102,-6.8891015239189
0.914,45,-172,-23.9838602016003,-6.86015972331518
0.914,45,-170,-24.2817475749503,-6.87467049654858
0.914,45,-168,-24.628375740109,-6.9302940936662
0.914,45,-166,-25.019217764812,-7.02460746051925
0.914,45,-164,-25.4464366304591,-7.15506783109201
0.914,45,-162,-25.8972408079253,-7.31898087124051
0.914,45,-160,-26.3518967989849,-7.51347528512005
0.914,45,-158,-26.7818995114486,-7.73548642544972
0.914,45,-156,-27.149545332748,-7.98175204852736
0.914,45,-154,-27.4109462272675,-8.24882377627748
0.914,45,-152,-27.5242061249075,-8.53309786868196
0.914,45,-150,-27.4615026758178,-8.83086833175538
0.914,45,-148,-27.2191495846135,-9.13840396283761
0.914,45,-146,-26.8187352701506,-9.45204854228967
0.914,45,-144,-26.2984711568047,-9.76834011186819
0.914,45,-142,-25.7009065668278,-10.084141547418
0.914,45,-140,-25.0636658384752,-10.3967711907381
0.914,45,-138,-24.415432377511,-10.7041201239186
0.914,45,-136,-23.7758320240081,-11.0047426510842
0.914,45,-134,-23.1570944595611,-11.2979091561518
0.914,45,-132,-22.5660614112201,-11.5836154542322
0.914,45,-130,-22.0059114986992,-11.862549004801
0.914,45,-128,-21.4774474605407,-12.1360183937881
0.914,45,-126,-20.9799894281732,-12.4058568513412
0.914,45,-124,-20.5119697043983,-12.6743123125829
0.914,45,-122,-20.0713188444233,-12.9439354617076
0.914,45,-120,-19.6557118589971,-13.2174737729515
0.914,45,-118,-19.2627228392349,-13.4977745040442
0.914,45,-116,-18.8899204605885,-13.7876935034372
0.914,45,-114,-18.5349257119541,-14.0899996922389
0.914,45,-112,-18.1954457565077,-14.4072566441005
0.914,45,-110,-17.8692929622413,-14.741651531755
0.914,45,-108,-17.5543949822076,-15.0947258359867
0.914,45,-106,-17.2487997138428,-15.466939237669
0.914,45,-104,-16.9506776218163,-15.8569666729104
0.914,45,-102,-16.6583230100308,-16.2605927814165
0.914,45,-100,-16.3701552112634,-16.6690497055257
0.914,45,-98,-16.0847202253701,-17.066709658919
0.914,45,-96,-15.8006930171991,-17.4283450636472
0.914,45,-94,-15.5168804474736,-17.7169463565896
