"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,0,-180,-40.0841384375413,-7.4859220932377
0.914,0,-178,-40.1109289920741,-7.28070405535607
0.914,0,-176,-40.2128149767731,-7.12903685938694
0.914,0,-174,-40.3908689814088,-7.02896168412675
0.914,0,-172,-40.6454352033934,-6.97885625766128
0.914,0,-170,-40.9754275652971,-6.97738849165854
0.914,0,-168,-41.3771319518163,-7.02347672199919
0.914,0,-166,-41.8422361460455,-7.11625475444382
0.914,0,-164,-42.3547732825917,-7.25503978823208
0.914,0,-162,-42.8868761632175,-7.4393010652958
0.914,0,-160,-43.3941788362668,-7.66862668166992
0.914,0,-158,-43.813995103893,-7.94268531165449
0.914,0,-156,-44.0724229540285,-8.26117852447304
0.914,0,-154,-44.1053837263534,-8.62377777539894
0.914,0,-152,-43.8865778603445,-9.03003785230925
0.914,0,-150,-43.4409688521164,-9.47927536561286
0.914,0,-148,-42.8307878328882,-9.97039666157053
0.914,0,-146,-42.1275286123784,-10.5016544659419
0.914,0,-144,-41.3911817616001,-11.0703075238209
0.914,0,-142,-40.6633817605973,-11.6721551145595
0.914,0,-140,-39.9693389601821,-12.3009247049519
0.914,0,-138,-39.322453873825,-12.9475183435199
0.914,0,-136,-38.7285458126105,-13.5991918742638
0.914,0,-134,-38.1888907813957,-14.2388744785541
0.914,0,-132,-37.7021808843671,-14.8450381409091
0.914,0,-130,-37.2657201825473,-15.3927230210529
0.914,0,-128,-36.8761318601075,-15.8562937059569
0.914,0,-126,-36.5297671881363,-16.2139275691319
0.914,0,-124,-36.2229366173666,-16.4526813126475
0.914,0,-122,-35.952035737028,-16.5719718244582
0.914,0,-120,-35.71360907533,-16.5836188758215
0.914,0,-118,-35.5043768004803,-16.5084129811641
0.914,0,-116,-35.3212388092123,-16.37101749421
0.914,0,-114,-35.1612645445024,-16.1953793347637
0.914,0,-112,-35.0216733846089,-16.0018367036689
0.914,0,-110,-34.8998085328467,-15.8059446810215
0.914,0,-108,-34.7931063880476,-15.6184438567598
0.914,0,-106,-34.6990630225769,-15.4457530576814
