"Freq [GHz]","dB(S(1,1)) []","dB(S(1,1))_1 []","dB(S(1,1))_2 []","dB(S(1,1))_3 []"
0.86,-3.3026423844264,-3.48443476954557,-4.61781024962146,-4.69693130273028
0.862,-3.406106467818,-3.55818318217327,-4.65883014355951,-4.74051982219611
0.864,-3.51794290153072,-3.63961289830795,-4.70398684858974,-4.78775325957964
0.866,-3.63927666836431,-3.72994608254066,-4.75410405846054,-4.83944426410818
0.868,-3.77140302156805,-3.83060099237038,-4.81006919835958,-4.89646781704991
0.87,-3.91581661565401,-3.94323012920878,-4.87284315901436,-4.95976946385085
0.872,-4.07424650582374,-4.06976695894638,-4.94347236944003,-5.03037572082057
0.874,-4.24869849398091,-4.21248324546644,-5.02310353520975,-5.10940695782693
0.876,-4.44150662085491,-4.37405955208389,-5.11300144630965,-5.19809310472334
0.878,-4.65539628906057,-4.55767209707737,-5.21457032290079,-5.2977925807926
0.88,-4.8935623452709,-4.76709992737067,-5.32937925294161,-5.41001489981151
0.882,-5.15976665579793,-5.0068573210534,-5.4591923268221,-5.53644744372476
0.884,-5.45846168927855,-5.28235741320322,-5.60600411265406,-5.67898687717594
0.886,-5.79494943786487,-5.60011420776265,-5.77208102963294,-5.83977558218586
0.888,-6.1755896648853,-5.9679910300189,-5.96000892695046,-6.02124315178414
0.89,-6.6080788630132,-6.3955031906832,-6.17274657403737,-6.2261523696257
0.892,-7.10183366358644,-6.8941785075065,-6.41368357876017,-6.45764779188861
0.894,-7.66853355384355,-7.47796408501584,-6.68669921370442,-6.71930296769319
0.896,-8.32291502747211,-8.16362093652036,-6.99621537934924,-7.01515888366394
0.898,-9.0839773185716,-8.97091177212805,-7.34723269255082,-7.34974170169988
0.9,-9.97688924497407,-9.92199399435799,-7.74533474501654,-7.72804317213453
0.902,-11.036143449011,-11.0382910479474,-8.19664614207255,-8.15544608843765
0.904,-12.3110366460328,-12.3298579189863,-8.70774373516762,-8.6375874561242
0.906,-13.8756890127512,-13.763791310072,-9.28555917154178,-9.18018458486184
0.908,-15.8480986494239,-15.1847946486347,-9.93737669529456,-9.78890609823418
0.91,-18.4246470895252,-16.1972818254627,-10.6710843084131,-10.4694164661991
0.912,-21.8954502082664,-16.2793179718261,-11.4957637861907,-11.2276555029635
0.914,-25.8701655346254,-15.3720861917284,-12.4223285047432,-12.0700809638872
0.916,-25.3612466097596,-13.9670634092308,-13.4630740868762,-13.0029039600584
0.918,-21.2853778252053,-12.5047695969983,-14.6274491990878,-14.0282650895645
0.92,-17.950799651858,-11.1747865778615,-15.9081717857862,-15.1336614030515
0.922,-15.4665316906538,-10.0244418402061,-17.2455384534064,-16.2687552020111
0.924,-13.5498420713692,-9.04870426234477,-18.456138643746,-17.3059061889349
0.926,-12.0189589272508,-8.22770699943526,-19.174549435558,-18.0104879612886
0.928,-10.7643361379897,-7.53962757053111,-19.035412806324,-18.1193555020898
0.93,-9.7166101370594,-6.96454374371337,-18.0848759420151,-17.5624481959628
0.932,-8.82930204238674,-6.48518592733901,-16.7221072322065,-16.5410028830814
0.934,-8.06969082449848,-6.08664143444642,-15.2869140374352,-15.3278727445776
0.936,-7.41378613896878,-5.7557236377131,-13.9383501174715,-14.1057318160373
0.938,-6.84341394559579,-5.48029507331807,-12.7257090914668,-12.9598114096133
0.94,-6.34444241957924,-5.24875037379997,-11.6528218059559,-11.9191049831223
0.942,-5.90565275097438,-5.04990032903131,-10.7081745073596,-10.9869721731272
0.944,-5.51799077088279,-4.8734688487007,-9.8765601627058,-10.1566535740956
0.946,-5.17405255514689,-4.71100688837321,-9.14315939830515,-9.41814650030683
0.948,-4.86771919104693,-4.55626754128225,-8.49476866770108,-8.76104625977351
0.95,-4.5938898735859,-4.40475439230667,-7.92000217709645,-8.1756298056809
0.952,-4.34828194203515,-4.25403007344123,-7.40915313184293,-7.65319777305638
0.954,-4.12727785007197,-4.10438172230187,-6.95396661975974,-7.18611409017015
0.956,-3.92780591255357,-3.95806906139832,-6.54741278386143,-6.76773093961004
0.958,-3.74724598657152,-3.81788276095704,-6.18348745464286,-6.39227823294326
0.96,-3.58335392925525,-3.68616697655849,-5.85704494900342,-6.05474993870237
