"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,45,-180,-7.46056926557685,-24.6902139844191
0.914,45,-178,-7.42138040034134,-23.8362221510641
0.914,45,-176,-7.42371084705897,-23.1269335724819
0.914,45,-174,-7.4677071851275,-22.5416314171546
0.914,45,-172,-7.55381273224569,-22.0638012779182
0.914,45,-170,-7.68278394040788,-21.6802363372078
0.914,45,-168,-7.85571879643913,-21.3802438646598
0.914,45,-166,-8.07409996700841,-21.1550175119621
0.914,45,-164,-8.33985682636809,-20.9971566817619
0.914,45,-162,-8.65545246067609,-20.900299655746
0.914,45,-160,-9.02400460714414,-20.8588406965577
0.914,45,-158,-9.44945384755282,-20.8677082416916
0.914,45,-156,-9.93679924998166,-20.9221876120434
0.914,45,-154,-10.4924328555621,-21.0177766061045
0.914,45,-152,-11.1246233051637,-21.1500660696238
0.914,45,-150,-11.8442319998302,-21.3146403197962
0.914,45,-148,-12.6658056641461,-21.5069944338205
0.914,45,-146,-13.609305188007,-21.7224670818477
0.914,45,-144,-14.7029661559108,-21.9561889189867
0.914,45,-142,-15.9882977570465,-22.2030476138593
0.914,45,-140,-17.5294275360674,-22.4576713978251
0.914,45,-138,-19.4320857274021,-22.7144335505523
0.914,45,-136,-21.8861851061303,-22.9674804536485
0.914,45,-134,-25.2694906319327,-23.2107856918641
0.914,45,-132,-30.2952042315459,-23.4382320969518
0.914,45,-130,-33.9540624533276,-23.6437225278981
0.914,45,-128,-28.5294777482424,-23.8213184457351
0.914,45,-126,-24.0296216758528,-23.9654028333748
0.914,45,-124,-20.932980805882,-24.0708606451484
0.914,45,-122,-18.6173339402945,-24.1332658730007
0.914,45,-120,-16.7765539109186,-24.1490600323527
0.914,45,-118,-15.2512902515464,-24.1157034903384
0.914,45,-116,-13.9496755926529,-24.0317800683314
0.914,45,-114,-12.8142425523446,-23.8970381052565
0.914,45,-112,-11.8067160517421,-23.7123581348958
0.914,45,-110,-10.9003269137893,-23.4796475151672
0.914,45,-108,-10.0756110212959,-23.2016733679899
0.914,45,-106,-9.31796322436428,-22.8818541097756
0.914,45,-104,-8.6161373019082,-22.5240343850986
0.914,45,-102,-7.96128580001355,-22.13226760284
0.914,45,-100,-7.34632297721043,-21.710625404985
0.914,45,-98,-6.76548907787727,-21.2630462004127
0.914,45,-96,-6.21404445071341,-20.7932274466001
0.914,45,-94,-5.68804992925766,-20.3045601987606
0.914,45,-92,-5.18420600576663,-19.8001002996045
0.914,45,-90,-4.69973297200105,-19.2825684791974
0.914,45,-88,-4.23228015348783,-18.7543711715413
0.914,45,-86,-3.77985614354049,-18.2176344827518
0.914,45,-84,-3.34077440468246,-17.6742449565332
0.914,45,-82,-2.91361024543569,-17.1258921954371
0.914,45,-80,-2.49716629708282,-16.5741097705495
0.914,45,-78,-2.09044439027986,-16.0203120614546
0.914,45,-76,-1.69262227958048,-15.4658256638139
0.914,45,-74,-1.30303405818823,-14.9119147800971
0.914,45,-72,-0.921153393311661,-14.3598005885007
0.914,45,-70,-0.54657892607188,-13.8106749928175
0.914,45,-68,-0.179021340439489,-13.2657094203263
0.914,45,-66,0.181708272119098,-12.7260594825148
0.914,45,-64,0.535709031471223,-12.1928663692038
0.914,45,-62,0.883000077022239,-11.6672558326182
0.914,45,-60,1.223529713649,-11.1503355539244
0.914,45,-58,1.5571839983128,-10.6431915879658
0.914,45,-56,1.8837948345304,-10.1468844668704
0.914,45,-54,2.20314761402982,-9.66244542148685
0.914,45,-52,2.51498842384424,-9.19087305997973
0.914,45,-50,2.81903082203302,-8.73313073151802
0.914,45,-48,3.11496217561044,-8.29014470369893
0.914,45,-46,3.40244954961802,-7.86280319728846
0.914,45,-44,3.68114513605315,-7.4519562518896
0.914,45,-42,3.95069121488576,-7.05841634129324
0.914,45,-40,4.21072464580328,-6.68295961706053
0.914,45,-38,4.46088089760145,-6.32632763257364
0.914,45,-36,4.70079763115951,-5.98922938644195
0.914,45,-34,4.93011786056428,-5.67234352265894
0.914,45,-32,5.14849272415309,-5.37632053397509
0.914,45,-30,5.35558390223563,-5.10178483304753
0.914,45,-28,5.5510657205729,-4.84933658126047
0.914,45,-26,5.73462697827197,-4.61955319567185
0.914,45,-24,5.90597253593192,-4.41299048817484
0.914,45,-22,6.0648246953134,-4.23018342549761
0.914,45,-20,6.2109243963865,-4.07164653206546
0.914,45,-18,6.34403225228085,-3.93787398827385
0.914,45,-16,6.46392943825664,-3.82933950305401
0.914,45,-14,6.57041844791297,-3.74649606095232
0.914,45,-12,6.66332372867428,-3.68977566003407
0.914,45,-10,6.74249220897046,-3.65958916801273
0.914,45,-8,6.80779373092697,-3.656326430773
0.914,45,-6,6.85912140403678,-3.68035677087842
0.914,45,-4,6.89639189634397,-3.7320300148725
0.914,45,-2,6.9195456793713,-3.81167818838771
0.914,45,0,6.92854724087283,-3.91961801841631
0.914,45,2,6.92338527535928,-4.0561543836532
0.914,45,4,6.90407285651444,-4.22158485763804
0.914,45,6,6.87064758875402,-4.41620549661675
0.914,45,8,6.8231717281861,-4.64031803595772
0.914,45,10,6.76173225711909,-4.89423867740441
0.914,45,12,6.68644089192454,-5.1783086769674
0.914,45,14,6.59743400212589,-5.49290698347711
0.914,45,16,6.49487241927495,-5.83846523583859
0.914,45,18,6.3789411172802,-6.21548550997594
0.914,45,20,6.24984875073575,-6.62456132419507
0.914,45,22,6.10782704354314,-7.06640257791727
0.914,45,24,5.95313002565951,-7.54186533259568
0.914,45,26,5.78603312013891,-8.05198767234772
0.914,45,28,5.60683208497855,-8.59803334491673
0.914,45,30,5.41584181421058,-9.18154553962675
0.914,45,32,5.21339500018109,-9.80441409702765
0.914,45,34,4.99984065441742,-10.4689608031997
0.914,45,36,4.77554247860718,-11.1780494196962
0.914,45,38,4.5408770708827,-11.9352300939236
0.914,45,40,4.29623194673886,-12.7449323747708
0.914,45,42,4.04200334930263,-13.6127282256327
0.914,45,44,3.77859382087527,-14.5456979190928
0.914,45,46,3.50640950693932,-15.552950600348
0.914,45,48,3.22585716510456,-16.6463832174077
0.914,45,50,2.93734085443825,-17.8418167301078
0.914,45,52,2.64125828477414,-19.1607458384894
0.914,45,54,2.3379968103205,-20.6331099697349
0.914,45,56,2.02792905659131,-22.3017768785209
0.914,45,58,1.71140817384178,-24.2297515813089
0.914,45,60,1.38876271338601,-26.5103621587215
0.914,45,62,1.06029112511139,-29.2695258760852
0.914,45,64,0.726255874963844,-32.5538536379926
0.914,45,66,0.38687717996798,-35.4365446900959
0.914,45,68,0.0423263552343731,-34.9927180645153
0.914,45,70,-0.30728123795107,-32.2503673352194
0.914,45,72,-0.661893661977648,-29.6804874484522
0.914,45,74,-1.02153032132982,-27.6486600960593
0.914,45,76,-1.38629037628965,-26.043696438232
0.914,45,78,-1.75636172045593,-24.7481644200819
0.914,45,80,-2.13203061974394,-23.6796865440215
0.914,45,82,-2.5136921488835,-22.7824241411019
0.914,45,84,-2.90186161134404,-22.0177730290851
0.914,45,86,-3.29718719293832,-21.3582642472852
0.914,45,88,-3.70046418164246,-20.7838064515602
0.914,45,90,-4.11265119090063,-20.2793536650219
0.914,45,92,-4.5348889565999,-19.8334223692876
0.914,45,94,-4.96852244641534,-19.4371225367323
0.914,45,96,-5.41512723387862,-19.0835075446271
0.914,45,98,-5.87654136039386,-18.7671272603414
0.914,45,100,-6.35490425117239,-18.4837138663244
0.914,45,102,-6.85270468186955,-18.229956411995
0.914,45,104,-7.37284032536652,-18.0033359062386
0.914,45,106,-7.91869204311372,-17.8020025092
0.914,45,108,-8.49421678234442,-17.6246825475847
0.914,45,110,-9.10406355119455,-17.4706070824345
0.914,45,112,-9.75371705229016,-17.3394564258573
