"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainPhi) []","dB(GainTheta) []"
0.914,0,-180,-8.07736643532731,-16.9715365076942
0.914,0,-178,-8.01920757848446,-16.5657756638804
0.914,0,-176,-7.99288440579411,-16.1844464666951
0.914,0,-174,-7.99776251494358,-15.8297775140135
0.914,0,-172,-8.03278823963274,-15.5031467144616
0.914,0,-170,-8.09648886527973,-15.2052760222847
0.914,0,-168,-8.1869542800858,-14.9363850612269
0.914,0,-166,-8.30180445690527,-14.6963100828753
0.914,0,-164,-8.43814818960157,-14.4845953383008
0.914,0,-162,-8.59254035769397,-14.3005633545218
0.914,0,-160,-8.76094768329149,-14.1433695653175
0.914,0,-158,-8.9387362389419,-14.0120456298895
0.914,0,-156,-9.1206971921343,-13.9055347480287
0.914,0,-154,-9.30112914252413,-13.8227214018354
0.914,0,-152,-9.47399398527195,-13.7624572263265
0.914,0,-150,-9.63315629978164,-13.7235841203185
0.914,0,-148,-9.77270230607505,-13.704955237133
0.914,0,-146,-9.88731419569696,-13.7054541269927
0.914,0,-144,-9.97265353131824,-13.7240120286569
0.914,0,-142,-10.0256913653918,-13.7596231191568
0.914,0,-140,-10.044921459625,-13.8113574206173
0.914,0,-138,-10.0304110581889,-13.8783710238785
0.914,0,-136,-9.98367745426967,-13.9599133084722
0.914,0,-134,-9.90741666622658,-14.0553309017196
0.914,0,-132,-9.80513922637395,-14.1640682064834
0.914,0,-130,-9.68077858715795,-14.2856644146598
0.914,0,-128,-9.53832979730014,-14.4197469880387
0.914,0,-126,-9.38155669280015,-14.5660216069305
0.914,0,-124,-9.21378380539842,-14.7242585400026
0.914,0,-122,-9.0377712509121,-14.8942752599943
0.914,0,-120,-8.85565989386003,-15.075914907394
0.914,0,-118,-8.6689697581613,-15.2690198795982
0.914,0,-116,-8.47863501655063,-15.47339939217
0.914,0,-114,-8.28506175172112,-15.6887893225658
0.914,0,-112,-8.0881983351257,-15.9148020166881
0.914,0,-110,-7.88761167626554,-16.1508630490093
0.914,0,-108,-7.68256527172477,-16.3961312580594
0.914,0,-106,-7.47209680512656,-16.6493978984689
0.914,0,-104,-7.25509408623825,-16.9089607801901
0.914,0,-102,-7.03036852486341,-17.1724703764172
0.914,0,-100,-6.79672529678833,-17.4367480086463
0.914,0,-98,-6.5530290623237,-17.697582734075
0.914,0,-96,-6.29826372234344,-17.9495251699147
0.914,0,-94,-6.03158440335088,-18.1857146207205
0.914,0,-92,-5.75235978053339,-18.3978001292105
0.914,0,-90,-5.46020305464621,-18.5760413759392
0.914,0,-88,-5.15499040922294,-18.7096885283767
0.914,0,-86,-4.83686653476363,-18.7877191400299
0.914,0,-84,-4.50623770410661,-18.7999323585665
0.914,0,-82,-4.16375377383486,-18.7382644916877
0.914,0,-80,-3.81028122787966,-18.5980405599792
0.914,0,-78,-3.44686986351512,-18.3788038836179
0.914,0,-76,-3.07471589462891,-18.0844490822683
0.914,0,-74,-2.69512412126415,-17.7226117726046
0.914,0,-72,-2.30947144674234,-17.3035223917463
0.914,0,-70,-1.91917350220648,-16.8386727430136
0.914,0,-68,-1.5256555573115,-16.3396197464785
0.914,0,-66,-1.13032833647918,-15.8171168349318
0.914,0,-64,-0.734568880340595,-15.2806146717956
0.914,0,-62,-0.339706222741497,-14.7380729142936
0.914,0,-60,0.052988597505444,-14.1959860101528
0.914,0,-58,0.44230881362785,-13.6595301062708
0.914,0,-56,0.827115173797198,-13.1327611979558
0.914,0,-54,1.20633681476198,-12.6188201721095
0.914,0,-52,1.57897037519707,-12.1201208592636
0.914,0,-50,1.94407787744181,-11.6385109691214
0.914,0,-48,2.3007838162241,-11.1754038773684
0.914,0,-46,2.64827180345123,-10.7318833747966
0.914,0,-44,2.98578103568911,-10.3087852034533
0.914,0,-42,3.31260277905767,-9.9067595742235
0.914,0,-40,3.62807700627383,-9.52631857137082
