"l2 [mm]","Freq [GHz]","dB(S(1,1)) []"
32,0.86,-1.57017391382881
32,0.862,-1.64402646676944
32,0.864,-1.72561846302857
32,0.866,-1.81611375307053
32,0.868,-1.91688418425295
32,0.87,-2.02954920704625
32,0.872,-2.1560221051548
32,0.874,-2.29856292022003
32,0.876,-2.45983717594457
32,0.878,-2.64297766006678
32,0.88,-2.85164315425167
32,0.882,-3.09006204515481
32,0.884,-3.36303845717072
32,0.886,-3.67588106037227
32,0.888,-4.03418558671926
32,0.89,-4.44335487901684
32,0.892,-4.90766738120897
32,0.894,-5.42860372100832
32,0.896,-6.00203700912827
32,0.898,-6.61390867557212
32,0.9,-7.23452136497078
32,0.902,-7.81335091518884
32,0.904,-8.2798572728487
32,0.906,-8.55846236330824
32,0.908,-8.59876574423417
32,0.91,-8.40241414735712
32,0.912,-8.02144049096007
32,0.914,-7.52993723516609
32,0.916,-6.99516986425783
32,0.918,-6.46449832948682
32,0.92,-5.96553271280245
32,0.922,-5.51141716147542
32,0.924,-5.10625778119372
32,0.926,-4.74911139577887
32,0.928,-4.43652366642358
32,0.93,-4.16401606670548
32,0.932,-3.92690315390652
32,0.934,-3.72071050686777
32,0.936,-3.54136459686855
32,0.938,-3.38525733436985
32,0.94,-3.24924498967467
32,0.942,-3.13061536253593
32,0.944,-3.02704194013746
32,0.946,-2.93653505135435
32,0.948,-2.85739508486443
32,0.95,-2.78817005123745
32,0.952,-2.7276182854723
32,0.954,-2.67467628952517
32,0.956,-2.62843133848183
32,0.958,-2.58809832084313
32,0.96,-2.55300025324285
36,0.86,-2.72256466194858
36,0.862,-2.85138020328793
36,0.864,-2.99258904697751
36,0.866,-3.14791105023753
36,0.868,-3.31935396951664
36,0.87,-3.50926814302664
36,0.872,-3.72041276841007
36,0.874,-3.95603661807817
36,0.876,-4.21997686057884
36,0.878,-4.51678091033541
36,0.88,-4.85185798410625
36,0.882,-5.23166968695091
36,0.884,-5.66397290966392
36,0.886,-6.15813418174746
36,0.888,-6.72554315163875
36,0.89,-7.38016403664402
36,0.892,-8.13927468468558
36,0.894,-9.02443784381397
36,0.896,-10.0626675874192
36,0.898,-11.2873674641763
36,0.9,-12.7370610005284
36,0.902,-14.4438815383323
36,0.904,-16.3813471091183
36,0.906,-18.2810526754852
36,0.908,-19.3161750414605
36,0.91,-18.679548013781
36,0.912,-16.9507215259232
36,0.914,-15.0617632293362
36,0.916,-13.3738754212248
36,0.918,-11.9411669109628
36,0.92,-10.7363768824856
36,0.922,-9.7204198911201
36,0.924,-8.85852186299933
36,0.926,-8.12253911381275
36,0.928,-7.49016336644346
36,0.93,-6.94369218787384
36,0.932,-6.46896719895798
36,0.934,-6.05455834028293
36,0.936,-5.6911551068888
36,0.938,-5.37111237715771
36,0.94,-5.08810815471221
36,0.942,-4.83688221486472
36,0.944,-4.61303385319705
36,0.946,-4.41286345043692
36,0.948,-4.2332470155529
36,0.95,-4.07153592717787
36,0.952,-3.92547616225116
36,0.954,-3.79314278549638
36,0.956,-3.67288649135185
36,0.958,-3.5632897512659
36,0.96,-3.46313067344759
40,0.86,-3.3026423844264
40,0.862,-3.406106467818
40,0.864,-3.51794290153072
40,0.866,-3.63927666836431
40,0.868,-3.77140302156805
40,0.87,-3.91581661565401
40,0.872,-4.07424650582374
40,0.874,-4.24869849398091
40,0.876,-4.44150662085491
40,0.878,-4.65539628906057
40,0.88,-4.8935623452709
40,0.882,-5.15976665579793
40,0.884,-5.45846168927855
40,0.886,-5.79494943786487
40,0.888,-6.1755896648853
40,0.89,-6.6080788630132
40,0.892,-7.10183366358644
40,0.894,-7.66853355384355
40,0.896,-8.32291502747211
40,0.898,-9.0839773185716
40,0.9,-9.97688924497407
40,0.902,-11.036143449011
40,0.904,-12.3110366460328
40,0.906,-13.8756890127512
40,0.908,-15.8480986494239
40,0.91,-18.4246470895252
40,0.912,-21.8954502082664
40,0.914,-25.8701655346254
40,0.916,-25.3612466097596
40,0.918,-21.2853778252053
40,0.92,-17.950799651858
40,0.922,-15.4665316906538
40,0.924,-13.5498420713692
40,0.926,-12.0189589272508
40,0.928,-10.7643361379897
40,0.93,-9.7166101370594
40,0.932,-8.82930204238674
40,0.934,-8.06969082449848
40,0.936,-7.41378613896878
40,0.938,-6.84341394559579
40,0.94,-6.34444241957924
40,0.942,-5.90565275097438
40,0.944,-5.51799077088279
40,0.946,-5.17405255514689
40,0.948,-4.86771919104693
40,0.95,-4.5938898735859
40,0.952,-4.34828194203515
40,0.954,-4.12727785007197
40,0.956,-3.92780591255357
40,0.958,-3.74724598657152
40,0.96,-3.58335392925525
44,0.86,-2.90670883139508
44,0.862,-2.95650010060551
44,0.864,-3.01161732354043
44,0.866,-3.07276398308812
44,0.868,-3.14074013216622
44,0.87,-3.21645908877749
