"diode_1 [mm]","Freq [GHz]","dB(S(1,1)) []"
70,0.86,-3.67529213249753
70,0.862,-3.80776528040994
70,0.864,-3.9506264774419
70,0.866,-4.10534666636628
70,0.868,-4.27365225477465
70,0.87,-4.45757506871685
70,0.872,-4.65951364580905
70,0.874,-4.88230896206525
70,0.876,-5.12933874570623
70,0.878,-5.40463606035737
70,0.88,-5.71304011770587
70,0.882,-6.06039078397582
70,0.884,-6.45378372169588
70,0.886,-6.90191206576075
70,0.888,-7.41553542025804
70,0.89,-8.00814257698538
70,0.892,-8.69691955914074
70,0.894,-9.50421649258062
70,0.896,-10.4598584297299
70,0.898,-11.6049272393031
70,0.9,-12.9981374579467
70,0.902,-14.7265214851624
70,0.904,-16.9203423951415
70,0.906,-19.7431297554097
70,0.908,-23.0466404765823
70,0.91,-24.4120201271525
70,0.912,-21.7721860168184
70,0.914,-18.5737841426909
70,0.916,-16.0237846169256
70,0.918,-14.0430532678826
70,0.92,-12.4739257823255
70,0.922,-11.2048981667311
70,0.924,-10.1613798386808
70,0.926,-9.29182366031016
70,0.928,-8.55892638128844
70,0.93,-7.93454907363445
70,0.932,-7.39688202405495
70,0.934,-6.92891620134183
70,0.936,-6.51758390904845
70,0.938,-6.15311512838021
70,0.94,-5.82836494332811
70,0.942,-5.53809072993004
70,0.944,-5.27828949801306
70,0.946,-5.04570079339519
70,0.948,-4.8375022272435
70,0.95,-4.65115820317873
70,0.952,-4.48436107751667
70,0.954,-4.33501478383177
70,0.956,-4.20123107487464
70,0.958,-4.08132491726969
70,0.96,-3.97380512954908
80,0.86,-3.48443476954557
80,0.862,-3.55818318217327
80,0.864,-3.63961289830795
80,0.866,-3.72994608254066
80,0.868,-3.83060099237038
80,0.87,-3.94323012920878
80,0.872,-4.06976695894638
80,0.874,-4.21248324546644
80,0.876,-4.37405955208389
80,0.878,-4.55767209707737
80,0.88,-4.76709992737067
80,0.882,-5.0068573210534
80,0.884,-5.28235741320322
80,0.886,-5.60011420776265
80,0.888,-5.9679910300189
80,0.89,-6.3955031906832
80,0.892,-6.8941785075065
80,0.894,-7.47796408501584
80,0.896,-8.16362093652036
80,0.898,-8.97091177212805
80,0.9,-9.92199399435799
80,0.902,-11.0382910479474
80,0.904,-12.3298579189863
80,0.906,-13.763791310072
80,0.908,-15.1847946486347
80,0.91,-16.1972818254627
80,0.912,-16.2793179718261
80,0.914,-15.3720861917284
80,0.916,-13.9670634092308
80,0.918,-12.5047695969983
80,0.92,-11.1747865778615
80,0.922,-10.0244418402061
80,0.924,-9.04870426234477
80,0.926,-8.22770699943526
80,0.928,-7.53962757053111
80,0.93,-6.96454374371337
80,0.932,-6.48518592733901
80,0.934,-6.08664143444642
80,0.936,-5.7557236377131
80,0.938,-5.48029507331807
80,0.94,-5.24875037379997
80,0.942,-5.04990032903131
80,0.944,-4.8734688487007
80,0.946,-4.71100688837321
80,0.948,-4.55626754128225
80,0.95,-4.40475439230667
80,0.952,-4.25403007344123
80,0.954,-4.10438172230187
80,0.956,-3.95806906139832
80,0.958,-3.81788276095704
80,0.96,-3.68616697655849
90,0.86,-3.18229325801835
90,0.862,-3.22054614578668
90,0.864,-3.26464362903173
90,0.866,-3.31542304206603
90,0.868,-3.37384832333386
90,0.87,-3.44103432098826
90,0.872,-3.51827640155871
90,0.874,-3.6070865516906
90,0.876,-3.7092374087183
90,0.878,-3.82681598090867
90,0.88,-3.96228912822226
90,0.882,-4.11858321304429
90,0.884,-4.2991805866458
90,0.886,-4.50823562618663
90,0.888,-4.75071255505137
90,0.89,-5.0325456836242
90,0.892,-5.36081868377499
90,0.894,-5.74395039138705
90,0.896,-6.19185444016099
90,0.898,-6.71599552729121
90,0.9,-7.32916567325377
90,0.902,-8.04457845684852
90,0.904,-8.8733667105562
90,0.906,-9.81844032698967
90,0.908,-10.8604891541608
90,0.91,-11.9296348020833
90,0.912,-12.8635769966978
90,0.914,-13.3998992141748
90,0.916,-13.3126420873902
90,0.918,-12.6298923295425
90,0.92,-11.6033066586025
90,0.922,-10.4823889317544
90,0.924,-9.41018970950724
90,0.926,-8.4447272098787
90,0.928,-7.59975558847467
90,0.93,-6.87006809511919
90,0.932,-6.24365972052849
90,0.934,-5.70701945693695
90,0.936,-5.24727787105649
90,0.938,-4.85297528538576
90,0.94,-4.51423738450388
90,0.942,-4.2227057379222
90,0.944,-3.97137757338068
90,0.946,-3.75442334569901
90,0.948,-3.56701177239451
90,0.95,-3.40515407978528
90,0.952,-3.26557088681279
90,0.954,-3.14558141254586
90,0.956,-3.0430131158577
90,0.958,-2.95612937936972
90,0.96,-2.88357282218553
