Freq [GHz],"dB(S(1,1)) []","dB(S(1,1))_1 []"
0.86,-3.302642384,-3.48443477
0.862,-3.406106468,-3.558183182
0.864,-3.517942902,-3.639612898
0.866,-3.639276668,-3.729946083
0.868,-3.771403022,-3.830600992
0.87,-3.915816616,-3.943230129
0.872,-4.074246506,-4.069766959
0.874,-4.248698494,-4.212483245
0.876,-4.441506621,-4.374059552
0.878,-4.655396289,-4.557672097
0.88,-4.893562345,-4.767099927
0.882,-5.159766656,-5.006857321
0.884,-5.458461689,-5.282357413
0.886,-5.794949438,-5.600114208
0.888,-6.175589665,-5.96799103
0.89,-6.608078863,-6.395503191
0.892,-7.101833664,-6.894178508
0.894,-7.668533554,-7.477964085
0.896,-8.322915027,-8.163620937
0.898,-9.083977319,-8.970911772
0.9,-9.976889245,-9.921993994
0.902,-11.03614345,-11.03829105
0.904,-12.31103665,-12.32985792
0.906,-13.87568901,-13.76379131
0.908,-15.84809865,-15.18479465
0.91,-18.42464709,-16.19728183
0.912,-21.89545021,-16.27931797
0.914,-25.87016553,-15.37208619
0.916,-25.36124661,-13.96706341
0.918,-21.28537783,-12.5047696
0.92,-17.95079965,-11.17478658
0.922,-15.46653169,-10.02444184
0.924,-13.54984207,-9.048704262
0.926,-12.01895893,-8.227706999
0.928,-10.76433614,-7.539627571
0.93,-9.716610137,-6.964543744
0.932,-8.829302042,-6.485185927
0.934,-8.069690824,-6.086641434
0.936,-7.413786139,-5.755723638
0.938,-6.843413946,-5.480295073
0.94,-6.34444242,-5.248750374
0.942,-5.905652751,-5.049900329
0.944,-5.517990771,-4.873468849
0.946,-5.174052555,-4.711006888
0.948,-4.867719191,-4.556267541
0.95,-4.593889874,-4.404754392
0.952,-4.348281942,-4.254030073
0.954,-4.12727785,-4.104381722
0.956,-3.927805913,-3.958069061
0.958,-3.747245987,-3.817882761
0.96,-3.583353929,-3.686166977
