Freq [GHz],"dB(S(1,1))_2 []","dB(S(1,1))_3 []"
0.86,-4.61781025,-4.696931303
0.862,-4.658830144,-4.740519822
0.864,-4.703986849,-4.78775326
0.866,-4.754104058,-4.839444264
0.868,-4.810069198,-4.896467817
0.87,-4.872843159,-4.959769464
0.872,-4.943472369,-5.030375721
0.874,-5.023103535,-5.109406958
0.876,-5.113001446,-5.198093105
0.878,-5.214570323,-5.297792581
0.88,-5.329379253,-5.4100149
0.882,-5.459192327,-5.536447444
0.884,-5.606004113,-5.678986877
0.886,-5.77208103,-5.839775582
0.888,-5.960008927,-6.021243152
0.89,-6.172746574,-6.22615237
0.892,-6.413683579,-6.457647792
0.894,-6.686699214,-6.719302968
0.896,-6.996215379,-7.015158884
0.898,-7.347232693,-7.349741702
0.9,-7.745334745,-7.728043172
0.902,-8.196646142,-8.155446088
0.904,-8.707743735,-8.637587456
0.906,-9.285559172,-9.180184585
0.908,-9.937376695,-9.788906098
0.91,-10.67108431,-10.46941647
0.912,-11.49576379,-11.2276555
0.914,-12.4223285,-12.07008096
0.916,-13.46307409,-13.00290396
0.918,-14.6274492,-14.02826509
0.92,-15.90817179,-15.1336614
0.922,-17.24553845,-16.2687552
0.924,-18.45613864,-17.30590619
0.926,-19.17454944,-18.01048796
0.928,-19.03541281,-18.1193555
0.93,-18.08487594,-17.5624482
0.932,-16.72210723,-16.54100288
0.934,-15.28691404,-15.32787274
0.936,-13.93835012,-14.10573182
0.938,-12.72570909,-12.95981141
0.94,-11.65282181,-11.91910498
0.942,-10.70817451,-10.98697217
0.944,-9.876560163,-10.15665357
0.946,-9.143159398,-9.4181465
0.948,-8.494768668,-8.76104626
0.95,-7.920002177,-8.175629806
0.952,-7.409153132,-7.653197773
0.954,-6.95396662,-7.18611409
0.956,-6.547412784,-6.76773094
0.958,-6.183487455,-6.392278233
0.96,-5.857044949,-6.054749939
